item_uid,restaurant_id,menu_name,section_name,item_name,description,price,price_text,currency,out_of_stock,city_name,state_code,zip,geo_lat,geo_lng,canonical_item_id
4be489fb311986ddda81b24c2aca4f80,01KQQ8EQ3B38BW9X092YA31SXF,Lunch,Special Appetizer,Combo Pokky,,14.95,$14.95,USD,,Eagle River,AK,99577,61.32662,-149.574439,
a3a605c65a483a299f650f612c774ee9,01KQQ8EQ3HAY55AJ4WS814YPTG,Main,Biryani,Lamb Biryani,"Boneless lamb cooked with basamati rice, spices and cashews",17.95,$17.95,USD,,Anchorage,AK,99507,61.180176,-149.835739,
080071e5c8b7f45f478eb80625abd871,01KQQ8EQ3E5P492RGK4Q85ER5S,Main,SOUP AND SALADS,Menudo,"MEXICO'S MOST POPULAR SOUP MENUDO. HONYCOMB TRIPE SOUP. SERVED WITH ONIONS, CILANTRO, LIME, AND TORTILLAS.",16.75,$16.75,USD,,Anchorage,AK,99515,61.12868814339268,-149.88521135810393,
e47c524d3074ed477aef9bfdaacede33,01KRA647W9QCEGFWB6147G2GZF,Beverages,Non - Alcoholic,Iced Tea,,3.00,,USD,f,Homer,AK,99603,59.64757,-151.53297,
d9574e828a92ae1262f8836da86b6b0d,01KRA647W9QCEGFWB6147G2GZF,Lunch,Snacks🍟,Trio of Salsas,"Basket of chips with trio of house made salsas. Salsa verde taqueria, salsa rosa & mango habanero.",8.75,,USD,f,Homer,AK,99603,59.64757,-151.53297,
03a506a692f7c21674aed8c4a1bba1f1,01KQQ8EQ3HAY55AJ4WS814YPTG,Main,Tandoori Specialities,Tandoori Shrimp,Prawns marinated in spices and herbs and grilled in a clay oven,17.95,$17.95,USD,,Anchorage,AK,99507,61.180176,-149.835739,
af062e8db928b6ac4e5d4ffb9a4b51fb,01KQQ8EQ3DJZX638KD971VEFMR,Main,Korean Dinner,11. Galbi Jjim,Deep boiled beef short rib with special sauce.,38.00,$38.00,USD,,Anchorage,AK,99503,61.19585418,-149.89421082,
7bed0a4a01dcbcb3bb92548249e20d7c,01KQQ8EQ3FREYC08HHSAB4Y3YT,Main,Boneless Wings by the Piece,50 Piece Boneless Wings by the Piece,,47.99,$47.99,USD,,Anchorage,AK,99517,61.19482,-149.917984,
e2280adcef1e232eb372287d086fd11c,01KRA647W9QCEGFWB6147G2GZF,Breakfast,Breakfast,Breakfast Sandwich,"Fried egg, cheese, chipotle aioli with choice of meat served on a large crispy muffin with greens & tomato.",13.25,,USD,f,Homer,AK,99603,59.64757,-151.53297,
255642f836538526d51efb1cf6a7b959,01KQQ8EQ3FREYC08HHSAB4Y3YT,Main,Wingstop Crispy Tenders,24 Piece Crispy Tender Family Pack,,49.99,$49.99,USD,,Anchorage,AK,99517,61.19482,-149.917984,
7e2ae98e431be67bf96db37092391a30,01KQQ8EQ3E5P492RGK4Q85ER5M,Main,Appetizers,A8. Papaya Salad,"Papaya, cucumber, noodles and mixed vegetables served with vermicelli noodles and cabbage.",10.95,$10.95,USD,,Anchorage,AK,99508,61.216755,-149.818512,
72ca6f3490fb1b0827edd1a346c4b83e,01KQQ8EQ3CWDRR6HSZYR6V23NC,FOOD,SIDES,SIDE FRIED FISH,,10.00,,USD,f,Fairbanks,AK,99701,64.854257,-147.684238,
9230d0d62860fde8b97b18913d8e5a55,01KQQ8EQ3B38BW9X092YA31SXF,Dinner,Beverages,Hot Sake,,4.95,$4.95,USD,,Eagle River,AK,99577,61.32662,-149.574439,
291dc2bb0212b6cd7362cc0a3f2b1b07,01KQQ8EQ3HAY55AJ4WS814YPV1,Dinner,Soups,Yosenabe,"Assorted seafood, chicken and veggies in japanese broth.",17.00,$17.00,USD,,Anchorage,AK,99503,61.188831,-149.867479,
ede685e99ef5056aa26aa0e24eae2459,01KQQ8EQ3B38BW9X092YA31SXF,Dinner,Roll Festival,Shrimp Tempura Roll,,9.95,$9.95,USD,,Eagle River,AK,99577,61.32662,-149.574439,
ea3bac2b90e122a98585021a63f58123,01KQQ8EQ3DJZX638KD971VEFKC,Tap Beer,HooDoo Brewing Co,Pitcher Stout Hoodoo,"Deep milk chocolate, creamy aromas, and flavors, 5.8%",28.00,,USD,f,Fairbanks,AK,99701,64.857603,-147.696697,
b9aa89c0a9f9a41e5cc283e34dd1999f,01KQQ8EQ3MQXE5CW74RC0761RN,Wine,Champagne / Sparkling Wine,Korbel Brut California,,8.50,$8.50,USD,,Seward,AK,99664,60.118285,-149.439285,
58760d70d6b47a39fb4a08aa075dd1bd,01KQQ8EQ3DJZX638KD971VEFKC,Food Menu,Specialty Salads,Cobb Salad,"Seasonal mixed greens, chicken, bacon, tomatoes, green onions, egg, and blue cheese crumbles, with blue cheese dressing",19.50,,USD,f,Fairbanks,AK,99701,64.857603,-147.696697,
9d187570a12cc400cf5299466e276017,01KRA647XPD1FFC6872RF8H067,Full Menu,A La Carte,Beans and Rice,,4.00,,USD,f,Eagle River,AK,99577,61.325835,-149.570588,
fee43ba2e2310a166c4ba6b59acc41b4,01KQQ8EQ3HAY55AJ4WS814YPV1,Dinner,Katsu,Tonkatsu (Pork),,16.00,$16.00,USD,,Anchorage,AK,99503,61.188831,-149.867479,
7d294a4f183107f0d8fbed46fb9f797e,01KQQ8EQ3N64SWADNPAMNAZ8KF,Main,"Sides, Sweets, Sauces",Chicken Wing,"1 Wing piece of our freshly prepared chicken, available in Original Recipe or Extra Crispy. (Cal.: 70-170)",3.36,$3.36,USD,,Wasilla,AK,99654,61.5784645,-149.40731812,
3e0eb8aa4a95d66a9eacb090cacfe1c9,01KQQ8EQ3FREYC08HHSAB4Y409,Main,Traditional & Gourmet Pizzas,Hawaiian Bbq Chicken,"Barbeque sauce, grilled chicken, pineapple, bacon and mozzarella. Topped with a Barbeque sauce swirl and fresh cilantro.",12.99,$12.99,USD,,Anchorage,AK,99518,61.114623,-149.864475,
c7f71cee1f69534e6e7af2d0f2c2d295,01KQQ8EQ3DJZX638KD971VEFMR,Main,Korean Soup,53. Dak Gom Tang,Chicken soup.,23.00,$23.00,USD,,Anchorage,AK,99503,61.19585418,-149.89421082,
cfe800d27a15266eebf75074f29ee1dd,01KQQ8EQ3HAY55AJ4WS814YPV1,Lunch,Kids Meal,Steamed Rice,,7.00,$7.00,USD,,Anchorage,AK,99503,61.188831,-149.867479,
13b206c9313b02a47150eb112e26807c,01KRA647W9QCEGFWB6147G2GZF,Breakfast,Breakfast Sides,SD Hashbrowns,,6.00,,USD,f,Homer,AK,99603,59.64757,-151.53297,
42927eb5fcd987acef9c380e5d9e5528,01KQQ8EQ3N64SWADNPAMNAZ8KF,Main,Sandwiches,Spicy Twister,"Two Original Recipe® chicken tenders wrapped with fresh lettuce, diced tomato, and bold Zinger Sauce for a flavorful kick in a warm tortilla. (Cal.: 740)",10.43,$10.43,USD,,Wasilla,AK,99654,61.5784645,-149.40731812,
cdd1d15fc1b11c040cc685e9380774f5,01KQQ8EQ3HAY55AJ4WS814YPV1,Lunch,Donburi (Rice Bowl),Unaju (Eel),,21.00,$21.00,USD,,Anchorage,AK,99503,61.188831,-149.867479,
109d61fc7c4ae150e1e5f8344400c2d7,01KRA647XPD1FFC6872RF8H06C,CANDY BAR,CANDY + SNACKS,$2 Candy,,2.00,,USD,f,Fairbanks,AK,99709,64.858785,-147.79469,
8fa6164b761a8eac585087dfbdebd47e,01KRA647W9QCEGFWB6147G2GZF,Catering 🍽️,Taco Bar,Steak Taco Bar,"Includes flour tortillas, lettuce, tomatoes, onions, shredded cheese & jalapeños.
Full pan serves about 60 tacos, half pan serves about 30 tacos.",130.00,,USD,f,Homer,AK,99603,59.64757,-151.53297,
c9ce1b0f22b653d37b88fc79ea6c29b3,01KQQ8EQ3E5P492RGK4Q85ER5M,Main,Appetizers,A12. Thai Hot Wings,"Served with spicy, sweet garlic sauce.",9.95,$9.95,USD,,Anchorage,AK,99508,61.216755,-149.818512,
9204c4d8c5c18b11bfecaa62f35a9f2a,01KRA647XPD1FFC6872RF8H067,Full Menu,Platos Especiales,Carnitas,,25.99,,USD,f,Eagle River,AK,99577,61.325835,-149.570588,
